train_clean,train_naive,train_robust,test_clean,test_naive,test_robust,p,condition
99.83870967741936,62.58064516129032,91.7741935483871,77.25381414701803,53.12066574202497,68.65464632454923,0,degree
99.83870967741936,62.58064516129032,91.7741935483871,77.25381414701803,53.12066574202497,68.65464632454923,1,degree
99.83870967741936,62.58064516129032,91.7741935483871,77.25381414701803,53.12066574202497,68.65464632454923,2,degree
99.83870967741936,62.58064516129032,91.7741935483871,77.25381414701803,53.12066574202497,68.65464632454923,5,degree
99.83870967741936,62.58064516129032,91.7741935483871,77.25381414701803,53.12066574202497,68.65464632454923,10,degree
99.83870967741936,62.58064516129032,91.7741935483871,77.25381414701803,53.12066574202497,68.65464632454923,20,degree
99.83870967741936,62.58064516129032,91.7741935483871,77.25381414701803,53.12066574202497,68.65464632454923,30,degree
99.83870967741936,62.58064516129032,91.7741935483871,77.25381414701803,53.12066574202497,68.65464632454923,40,degree
99.83870967741936,62.58064516129032,91.7741935483871,77.25381414701803,53.12066574202497,68.65464632454923,50,degree
99.83870967741936,62.096774193548384,92.09677419354838,78.08599167822469,53.25936199722607,69.20943134535368,60,degree
99.83870967741936,61.29032258064516,92.74193548387096,79.05686546463245,52.843273231622746,71.84466019417475,70,degree
99.83870967741936,60.645161290322584,92.41935483870968,79.19556171983356,52.1497919556172,69.76421636615811,80,degree
99.83870967741936,60.96774193548387,91.93548387096774,78.08599167822469,52.98196948682386,73.64771151178918,90,degree
99.83870967741936,71.7741935483871,92.58064516129032,76.97642163661581,61.16504854368932,74.20249653259361,100,degree
99.83870967741936,62.58064516129032,91.7741935483871,77.25381414701803,53.12066574202497,68.65464632454923,0,random
99.83870967741936,62.096774193548384,92.41935483870968,76.69902912621359,52.704576976421635,69.20943134535368,1,random
99.83870967741936,60.483870967741936,93.06451612903226,77.11511789181692,52.1497919556172,69.90291262135922,2,random
99.83870967741936,61.61290322580645,92.09677419354838,77.94729542302358,52.42718446601942,71.0124826629681,5,random
99.83870967741936,61.12903225806452,91.61290322580645,77.25381414701803,52.56588072122053,72.5381414701803,10,random
99.83870967741936,63.87096774193548,92.90322580645162,77.80859916782246,53.81414701803051,71.84466019417475,20,random
99.83870967741936,63.064516129032256,93.2258064516129,78.77947295423023,54.64632454923717,72.81553398058253,30,random
99.83870967741936,65.64516129032258,91.93548387096774,79.75034674063801,56.58807212205271,74.06380027739252,40,random
99.83870967741936,69.03225806451613,93.38709677419355,79.19556171983356,58.66851595006935,72.26074895977808,50,random
99.83870967741936,70.48387096774194,91.45161290322581,79.75034674063801,59.3619972260749,73.9251040221914,60,random
99.83870967741936,67.25806451612904,90.16129032258064,79.6116504854369,58.80721220527046,71.70596393897365,70,random
99.83870967741936,68.87096774193549,93.2258064516129,78.08599167822469,59.916782246879336,73.37031900138696,80,random
99.83870967741936,69.51612903225806,91.93548387096774,77.66990291262135,61.02635228848821,74.75728155339806,90,random
99.83870967741936,71.7741935483871,92.58064516129032,76.97642163661581,61.16504854368932,74.20249653259361,100,random
99.83870967741936,62.58064516129032,91.7741935483871,77.25381414701803,53.12066574202497,68.65464632454923,0,im
99.83870967741936,62.41935483870968,91.7741935483871,77.11511789181692,53.25936199722607,68.37725381414702,1,im
99.83870967741936,60.16129032258065,93.70967741935483,76.97642163661581,52.01109570041609,70.45769764216367,2,im
99.83870967741936,59.516129032258064,92.90322580645162,76.8377253814147,52.01109570041609,68.79334257975034,5,im
99.83870967741936,58.70967741935484,92.90322580645162,76.69902912621359,52.01109570041609,71.28987517337032,10,im
99.83870967741936,61.774193548387096,94.35483870967742,77.25381414701803,53.81414701803051,71.84466019417475,20,im
99.83870967741936,63.87096774193548,92.74193548387096,76.8377253814147,55.617198335644936,72.5381414701803,30,im
99.83870967741936,65.48387096774194,91.93548387096774,77.66990291262135,56.58807212205271,71.0124826629681,40,im
99.83870967741936,64.83870967741936,93.2258064516129,77.94729542302358,55.33980582524272,72.26074895977808,50,im
99.83870967741936,66.61290322580645,90.16129032258064,76.14424410540916,56.310679611650485,74.47988904299584,60,im
99.83870967741936,67.58064516129032,90.0,76.69902912621359,57.83633841886269,74.06380027739252,70,im
99.83870967741936,67.25806451612904,92.25806451612904,77.25381414701803,57.28155339805825,73.7864077669903,80,im
99.83870967741936,70.64516129032258,93.06451612903226,78.64077669902913,57.697642163661584,73.37031900138696,90,im
99.83870967741936,71.7741935483871,92.58064516129032,76.97642163661581,61.16504854368932,74.20249653259361,100,im
