portion_remaining,condition,benchmark_acc,naive_acc,robust_acc,naive_pct_moved,naive_pct_crossed,robust_pct_moved,robust_pct_crossed
0,degree,77.25381414701803,53.12066574202497,68.65464632454923,45.3862339258194,45.38623384430418,44.51457858085632,44.51457769762549
0,random,77.25381414701803,53.12066574202497,68.65464632454923,45.3862339258194,45.38623384430418,44.51457858085632,44.51457769762549
0,im,77.39251040221914,58.52981969486824,73.37031900138696,35.49744486808777,35.49744514577697,34.05470252037048,34.054703937481214
10,degree,77.25381414701803,53.12066574202497,68.65464632454923,45.3862339258194,45.38623384430418,44.51457858085632,44.51457769762549
10,random,76.14424410540916,54.36893203883495,73.37031900138696,43.49263608455658,43.49263600841599,40.8175528049469,40.8175533513676
10,im,77.39251040221914,58.52981969486824,73.37031900138696,35.49744486808777,35.49744514577697,34.05470252037048,34.054703937481214
20,degree,77.25381414701803,53.12066574202497,68.65464632454923,45.3862339258194,45.38623384430418,44.51457858085632,44.51457769762549
20,random,78.64077669902913,54.92371705963939,75.72815533980582,42.6510363817215,42.65103697024346,39.555156230926514,39.5551547941088
20,im,77.39251040221914,58.52981969486824,73.37031900138696,35.49744486808777,35.49744514577697,34.05470252037048,34.054703937481214
30,degree,77.25381414701803,53.12066574202497,68.65464632454923,45.3862339258194,45.38623384430418,44.51457858085632,44.51457769762549
30,random,79.33425797503467,57.142857142857146,76.42163661581138,39.10429775714874,39.10429816651638,36.39915883541107,36.39915840096183
30,im,77.39251040221914,58.52981969486824,73.37031900138696,35.49744486808777,35.49744514577697,34.05470252037048,34.054703937481214
40,degree,77.25381414701803,53.12066574202497,68.65464632454923,45.3862339258194,45.38623384430418,44.51457858085632,44.51457769762549
40,random,77.80859916782246,57.697642163661584,75.31206657420249,38.44304084777832,38.44304177938082,36.15870177745819,36.15870153291254
40,im,77.39251040221914,58.52981969486824,73.37031900138696,35.49744486808777,35.49744514577697,34.05470252037048,34.054703937481214
50,degree,77.25381414701803,53.12066574202497,68.65464632454923,45.3862339258194,45.38623384430418,44.51457858085632,44.51457769762549
50,random,80.02773925104022,58.80721220527046,72.95423023578364,36.36910021305084,36.36910129245566,34.114816784858704,34.114818154493534
50,im,77.39251040221914,58.52981969486824,73.37031900138696,35.49744486808777,35.49744514577697,34.05470252037048,34.054703937481214
60,degree,78.08599167822469,53.25936199722607,69.20943134535368,42.83137917518616,42.83137962128043,44.39435005187988,44.394349263600844
60,random,78.36338418862691,58.80721220527046,72.5381414701803,35.76796054840088,35.767959122332435,34.325218200683594,34.32521791403667
60,im,77.39251040221914,58.52981969486824,73.37031900138696,35.49744486808777,35.49744514577697,34.05470252037048,34.054703937481214
70,degree,79.05686546463245,52.843273231622746,71.84466019417475,42.560866475105286,42.56086564472498,41.989779472351074,41.98978058310791
70,random,78.08599167822469,58.66851595006935,74.34119278779472,35.70784628391266,35.70784490532011,33.15299153327942,33.15299068229636
70,im,77.39251040221914,58.52981969486824,73.37031900138696,35.49744486808777,35.49744514577697,34.05470252037048,34.054703937481214
80,degree,79.19556171983356,52.1497919556172,69.76421636615811,40.60715436935425,40.60715359182447,40.5169814825058,40.51698226630598
80,random,78.64077669902913,59.63938973647711,71.70596393897365,35.28704643249512,35.28704538623384,32.76224732398987,32.76224827171626
80,im,77.39251040221914,58.52981969486824,73.37031900138696,35.49744486808777,35.49744514577697,34.05470252037048,34.054703937481214
90,degree,78.08599167822469,52.98196948682386,73.64771151178918,41.68920814990997,41.68920949804629,37.270814180374146,37.27081454764052
90,random,77.66990291262135,61.02635228848821,73.64771151178918,32.311391830444336,32.31139164412384,31.710249185562134,31.7102494740006
90,im,77.39251040221914,57.697642163661584,74.20249653259361,35.01653075218201,35.016531409678386,34.05470252037048,34.054703937481214
100,degree,76.97642163661581,61.16504854368932,74.20249653259361,31.980764865875244,31.980763450556054,31.439736485481262,31.43973549744515
100,random,76.97642163661581,61.16504854368932,74.20249653259361,31.980764865875244,31.980763450556054,31.439736485481262,31.43973549744515
100,im,76.97642163661581,61.16504854368932,74.20249653259361,31.980764865875244,31.980763450556054,31.439736485481262,31.43973549744515
